1,http://hydro.ijs.si/v016/15/cxfzf6t7ilzmergp6wkprfwkka4kg2o7.pdf,No Redirect,PDF,http://hydro.ijs.si/v016/15/cxfzf6t7ilzmergp6wkprfwkka4kg2o7.pdf, ,774d4a265f1d61fb5ce6b7c2298da945,"{'/CreationDate': ""D:20171221115927+01'00'"", '/ModDate': ""D:20171221115927+01'00'""}"
,http://hydro.ijs.si/v016/40/idklofcjwsc7o33lb6bja2ej7pvupdkk.pdf,No Redirect,PDF,http://hydro.ijs.si/v016/40/idklofcjwsc7o33lb6bja2ej7pvupdkk.pdf, ,4d0bff3141e2415558d4a823678ff5ed,"{'/CreationDate': ""D:20180108121711+01'00'"", '/ModDate': ""D:20180108121711+01'00'""}"
2,http://campus.unibo.it/72949/1/2011garin.l-penn.j-hill.pdf,No Redirect,PDF,http://campus.unibo.it/72949/1/2011garin.l-penn.j-hill.pdf, ,Duplicate hash
,http://campus.unibo.it/99094/1/2011NOSTAMPgarin.l-penn.j-hill.pdf,No Redirect,PDF,http://campus.unibo.it/99094/1/2011NOSTAMPgarin.l-penn.j-hill.pdf,Duplicate filename,Duplicate hash
,http://campus.unibo.it/99102/1/2011NOSTAMPgarin.l-penn.j-hill.pdf,No Redirect,PDF,http://campus.unibo.it/99102/1/2011NOSTAMPgarin.l-penn.j-hill.pdf,Duplicate filename,Duplicate hash
3,http://campus.unibo.it/72948/1/2011gravitz-wilson-lakshman.pdf,No Redirect,PDF,http://campus.unibo.it/72948/1/2011gravitz-wilson-lakshman.pdf, ,Duplicate hash
,http://campus.unibo.it/99103/1/2011NOSTAMPgravitz-wilson-lakshman.pdf,No Redirect,PDF,http://campus.unibo.it/99103/1/2011NOSTAMPgravitz-wilson-lakshman.pdf,Duplicate filename,Duplicate hash
,http://campus.unibo.it/99095/1/2011NOSTAMPgravitz-wilson-lakshman.pdf,No Redirect,PDF,http://campus.unibo.it/99095/1/2011NOSTAMPgravitz-wilson-lakshman.pdf,Duplicate filename,Duplicate hash
64,https://ocw.mit.edu/courses/physics/8-13-14-experimental-physics-i-ii-junior-lab-fall-2007-spring-2008/labs/jlexp31.pdf,https://ocw.mit.edu/courses/physics/8-13-14-experimental-physics-i-ii-junior-lab-fall-2016-spring-2017/,Non PDF
,https://ocw.mit.edu/courses/physics/8-13-14-experimental-physics-i-ii-junior-lab-fall-2007-spring-2008/labs/jlexp001.pdf,https://ocw.mit.edu/courses/physics/8-13-14-experimental-physics-i-ii-junior-lab-fall-2016-spring-2017/,Non PDF
